row	col	x1	y1	x2	y2	x3	y3
A	1	488	268	864	676	900	560
A	2	1272	280	1660	692	1696	532
A	3	2064	280	2456	716	2500	512
A	4	2852	304	3248	740	3292	508
B	1	100	644	468	1056	524	940
B	2	864	676	1252	1068	1248	908
B	3	1660	692	2048	1092	2108	912
B	4	2456	716	2852	1108	2900	900
B	5	3248	740	3652	1144	3676	880
C	1	468	1056	836	1452	916	1324
C	2	1252	1068	1632	1476	1712	1308
C	3	2048	1092	2440	1496	2512	1292
C	4	2852	1108	3232	1508	3308	1276
D	1	100	1436	464	1820	548	1712
D	2	836	1452	1236	1848	1324	1712
D	3	1632	1476	2032	1876	2124	1692
D	4	2440	1496	2828	1884	2916	1664
D	5	3232	1508	3656	1908	3692	1648
E	1	464	1820	848	2220	952	2096
E	2	1236	1848	1616	2240	1736	2084
E	3	2032	1876	2424	2264	2532	2064
E	4	2828	1884	3188	2272	3308	2036
F	1	100	2196	456	2600	576	2460
F	2	848	2220	1228	2648	1352	2472
F	3	1616	2240	2000	2664	2140	2444
F	4	2424	2264	2788	2692	2928	2424
F	5	3188	2272	3592	2696	3688	2400
